Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,3.58996398242556e-133,3.9489603806681165e-133,3.230967584183004e-133
-99.7999599919984,8.471256554877555e-67,9.318382210365311e-67,7.6241308993898e-67
-99.6999399879976,1.2071283642473705e-44,1.3278412006721076e-44,1.0864155278226334e-44
-99.5999199839968,1.4821636258405853e-33,1.630379988424644e-33,1.3339472632565269e-33
-99.499899979996,6.767616431269636e-27,7.4443780743966e-27,6.090854788142672e-27
-99.3998799759952,1.876522695253439e-22,2.0641749647787832e-22,1.688870425728095e-22
-99.2998599719944,2.8093789220325e-19,3.0903168142357502e-19,2.52844102982925e-19
-99.1998399679936,6.775646955406785e-17,7.453211650947464e-17,6.098082259866107e-17
-99.0998199639928,4.833579427125077e-15,5.316937369837585e-15,4.35022148441257e-15
-98.999799959992,1.4688854436037812e-13,1.6157739879641595e-13,1.321996899243403e-13
-98.89977995599119,2.398711268038866e-12,2.6385823948427527e-12,2.1588401412349796e-12
-98.7997599519904,2.457662704851818e-11,2.703428975337e-11,2.2118964343666364e-11
-98.6997399479896,1.7588419228402196e-10,1.9347261151242417e-10,1.5829577305561977e-10
-98.5997199439888,9.49291307072386e-10,1.0442204377796246e-09,8.543621763651474e-10
-98.49969993998799,4.087702781673161e-09,4.496473059840478e-09,3.678932503505845e-09
-98.3996799359872,1.4648907761770579e-08,1.6113798537947637e-08,1.3184016985593521e-08
-98.2996599319864,4.512411845789678e-08,4.963653030368646e-08,4.06117066121071e-08
-98.1996399279856,1.2252053652128398e-07,1.347725901734124e-07,1.1026848286915559e-07
-98.0996199239848,2.9910979484573e-07,3.29020774330303e-07,2.69198815361157e-07
-97.99959991998399,6.670793940565792e-07,7.337873334622372e-07,6.003714546509213e-07
-97.8995799159832,1.3767056195662966e-06,1.5143761815229263e-06,1.239035057609667e-06
-97.7995599119824,2.657042996546534e-06,2.9227472962011873e-06,2.3913386968918804e-06
-97.6995399079816,4.837636163792043e-06,5.321399780171247e-06,4.353872547412838e-06
-97.59951990398079,8.369494516439534e-06,9.206443968083488e-06,7.532545064795581e-06
-97.49949989998,1.3843554848924079e-05,1.5227910333816489e-05,1.245919936403167e-05
-97.3994798959792,2.200506539861338e-05,2.4205571938474723e-05,1.9804558858752043e-05
-97.2994598919784,3.3762694975101555e-05,3.7138964472611716e-05,3.0386425477591402e-05
-97.19943988797759,5.019162932623333e-05,5.521079225885667e-05,4.517246639361e-05
-97.0994198839768,7.253039366516745e-05,7.97834330316842e-05,6.527735429865071e-05
-96.999399879976,0.00010217157978556615,0.00011238873776412278,9.195442180700954e-05
-96.8993798759752,0.0001406470212371193,0.00015471172336083125,0.00012658231911340739
-96.79935987197439,0.00018960823142049807,0.0002085690545625479,0.00017064740827844828
-96.69933986797359,0.000250803092942319,0.0002758834022365509,0.0002257227836480871
-96.5993198639728,0.00032604986875110395,0.0003586548556262144,0.0002934448818759936
-96.499299859972,0.000417209609810129,0.00045893057079114197,0.00037548864882911613
-96.3992798559712,0.0005261579769642122,0.0005787737746606335,0.00047354217926779096
-96.29925985197039,0.0006547573934465568,0.0007202331327912125,0.0005892816541019011
-96.1992398479696,0.00080483031519435,0.0008853133467137851,0.000724347283674915
-96.0992198439688,0.000978134262626632,0.0010759476888892955,0.0008803208363639689
-95.999199839968,0.0011763391109326322,0.0012939730220258956,0.001058705199839369
-95.89917983596719,0.0014010069946355794,0.0015411076940991374,0.0012609062951720216
-95.79915983196639,0.0016535750521155385,0.0018189325573270923,0.0014882175469039846
