Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-90.09801960392079,0.15728321602981618,0.1730115376327978,0.14155489442683455
-89.99799959991998,0.16023845723846988,0.17626230296231687,0.1442146115146229
-89.89797959591918,0.16315763220048352,0.1794733954205319,0.14684186898043516
-89.79795959191839,0.16603987641217136,0.1826438640533885,0.14943588877095423
-89.69793958791759,0.16888441127066167,0.18577285239772787,0.1519959701435955
-89.59791958391678,0.1716905406835925,0.18885959475195174,0.15452148661523324
-89.49789957991598,0.1744576476899428,0.19190341245893708,0.1570118829209485
-89.39787957591518,0.17718519110381467,0.19490371021419614,0.1594666719934332
-89.29785957191439,0.17987270219165827,0.19785997241082412,0.16188543197249244
-89.19783956791358,0.1825197813921666,0.20077175953138326,0.16426780325294993
-89.09781956391278,0.18512609508693512,0.20363870459562863,0.1666134855782416
-88.99779955991198,0.1876913724289083,0.20646050967179913,0.16892223518601746
-88.89777955591119,0.19021540223466762,0.2092369424581344,0.17119386201120088
-88.79775955191039,0.19269802994571736,0.21196783294028912,0.17342822695114563
-88.69773954790958,0.195139154663107,0.2146530701294177,0.1756252391967963
-88.59771954390878,0.19753872625898103,0.21729259888487915,0.17778485363308294
-88.49769953990798,0.19989674256796575,0.21988641682476234,0.17990706831116918
-88.39767953590719,0.20221324666068682,0.22243457132675554,0.18199192199461814
-88.29765953190638,0.2044883242011459,0.22493715662126051,0.18403949178103132
-88.19763952790558,0.2067221008891871,0.22739431097810583,0.1860498908002684
-88.09761952390478,0.20891473998882015,0.22980621398770218,0.18802326598993815
-87.99759951990399,0.21106643994276758,0.23217308393704436,0.18995979594849083
-87.89757951590317,0.21317743207322895,0.23449517528055186,0.19185968886590607
-87.79755951190238,0.21524797836854176,0.23677277620539594,0.19372318053168758
-87.69753950790158,0.21727836935511854,0.2390062062906304,0.19555053241960668
-87.59751950390078,0.21926892205379797,0.2411958142591778,0.19734202984841817
-87.49749949989999,0.22121997801951473,0.24334197582146622,0.19909798021756325
-87.39747949589918,0.2231319014630085,0.24544509160930936,0.20081871131670764
-87.29745949189838,0.22500507745311743,0.2475055851984292,0.2025045697078057
-87.19743948789758,0.22683991019806427,0.2495239012178707,0.20415591917825784
-87.09741948389677,0.2286368214040167,0.2515005035444184,0.20577313926361504
-86.99739947989598,0.23039624870910652,0.2534358735800172,0.20735662383819586
-86.89737947589518,0.23211864419100492,0.2553305086101054,0.20890677977190444
-86.79735947189438,0.2338044729460872,0.25718492024069595,0.21042402565147847
-86.69733946789358,0.23545421173816586,0.25899963291198247,0.21190879056434928
-86.59731946389277,0.23706834771473323,0.26077518248620657,0.21336151294325992
-86.49729945989198,0.2386473771886286,0.2625121149074915,0.21478263946976575
-86.39727945589118,0.240191804483025,0.2642109849313275,0.21617262403472248
-86.29725945189038,0.24170214083763206,0.26587235492139527,0.21753192675386884
-86.19723944788957,0.24317890337400183,0.26749679371140206,0.21886101303660166
-86.09721944388878,0.24462261411784755,0.26908487552963234,0.2201603527060628
-85.99719943988798,0.24603379907628842,0.27063717898391726,0.22143041916865958
-85.89717943588718,0.24741298736796805,0.2721542861047649,0.22267168863117123
-85.79715943188637,0.2487607104040091,0.27363678144441,0.2238846393636082
-85.69713942788557,0.25007750111781085,0.275085251229592,0.22506975100602977
-85.59711942388478,0.2513638932417214,0.2765002825658936,0.22622750391754928
-85.49709941988398,0.252620420628662,0.2778824626915283,0.22735837856579583
-85.39707941588318,0.25384761661681876,0.27923237827850067,0.22846285495513688
-85.29705941188237,0.2550460134355639,0.2805506147791203,0.22954141209200749
-85.19703940788158,0.25621614165081097,0.2818377558158921,0.23059452748572987
-85.09701940388078,0.2573585296480588,0.2830943826128647,0.2316226766832529
-84.99699939987997,0.2584737031514256,0.28432107346656815,0.23262633283628303
-84.89697939587917,0.2595621847770239,0.2855184032547263,0.23360596629932154
-84.79695939187837,0.2606244936190785,0.2866869429809864,0.23456204425717067
-84.69693938787758,0.2616611448672357,0.28782725935395925,0.23549503038051212
-84.59691938387678,0.26267264945356805,0.28893991439892486,0.23640538450821125
-84.49689937987597,0.2636595137278232,0.29002546510060556,0.2372935623550409
-84.39687937587517,0.2646222391595195,0.2910844630754715,0.23816001524356756
-84.29685937187438,0.2655613220655365,0.2921174542720902,0.23900518985898286
-84.19683936787358,0.2664772533619028,0.2931249786980931,0.23982952802571253
-84.09681936387277,0.26737051833852393,0.2941075701723764,0.24063346650467154
-83.99679935987197,0.2682415964556504,0.29506575610121544,0.24141743681008535
-83.89677935587117,0.2690909611609214,0.29600005727701356,0.24218186504482928
-83.79675935187038,0.26991907972587537,0.2969109876984629,0.24292717175328785
-83.69673934786957,0.27072641310085643,0.2977990544109421,0.2436537717907708
-83.59671934386877,0.27151341578729227,0.2986647573660215,0.24436207420856304
-83.49669933986797,0.272280535726361,0.29950858929899715,0.2450524821537249
-83.39667933586718,0.27302821420310563,0.30033103562341623,0.24572539278279507
-83.29665933186638,0.27375688576509516,0.3011325743416047,0.24638119718858564
-83.19663932786557,0.2744669781547711,0.30191367597024826,0.24702028033929402
-83.09661932386477,0.27515891225465405,0.3026748034801195,0.24764302102918864
-82.99659931986398,0.2758331020446255,0.3034164122490881,0.24824979184016296
-82.89657931586316,0.2764899545705308,0.30413895002758395,0.24884095911347776
-82.79655931186237,0.2771298699233878,0.3048428569157266,0.24941688293104902
-82.69653930786157,0.27775324122851736,0.30552856535136913,0.24997791710566564
-82.59651930386077,0.2783604546439427,0.306196500108337,0.25052440917954844
-82.49649929985998,0.27895188936743875,0.3068470783041827,0.2510567004306949
-82.39647929585917,0.2795279176516386,0.3074807094168025,0.25157512588647474
-82.29645929185837,0.2800889048266369,0.3080977953093006,0.2520800143439732
-82.19643928785757,0.28063520932955444,0.3086987302625099,0.252571688396599
-82.09641928385678,0.2811671827405568,0.3092839010146125,0.25305046446650115
-81.99639927985598,0.2816851698248445,0.30985368680732894,0.25351665284236
-81.89637927585517,0.2821895085801574,0.3104084594381732,0.25397055772214167
-81.79635927185437,0.2826805302893598,0.3109485833182958,0.2544124772604238
-81.69633926785357,0.28315855957769304,0.31147441553546235,0.2548427036199237
-81.59631926385276,0.2836239144743085,0.31198630592173937,0.25526152302687766
-81.49629925985197,0.28407690647771033,0.3124845971254814,0.2556692158299393
-81.39627925585117,0.28451784062475927,0.3129696246872352,0.2560660565622834
-81.29625925185037,0.28494701556290825,0.3134417171191991,0.25645231400661744
-81.19623924784958,0.28536472362535753,0.3139011959878933,0.25682825126282177
-81.09621924384876,0.28577125090883554,0.3143483759997191,0.257194125817952
-80.99619923984797,0.28616687735372737,0.3147835650891001,0.25755018961835463
-80.89617923584717,0.2865518768262898,0.3152070645089188,0.2578966891436608
-80.79615923184636,0.28692651720270584,0.3156191689229765,0.25823386548243527
-80.69613922784558,0.2872910604547474,0.31602016650022213,0.25856195440927265
-80.59611922384477,0.2876457627368272,0.3164103390105099,0.25888118646314445
-80.49609921984397,0.2879908744742353,0.31678996192165887,0.2591917870268118
-80.39607921584317,0.28832664045236817,0.317159304497605,0.25949397640713134
-80.29605921184236,0.2886532999067689,0.31751862989744584,0.25978796991609204
-80.19603920784157,0.28897108661381016,0.3178681952751912,0.26007397795242915
-80.09601920384077,0.2892802289818615,0.3182082518800477,0.2603522060836754
-79.99599919983997,0.2895809501427926,0.3185390451570719,0.26062285512851335
-79.89597919583917,0.28987346804367453,0.318860814848042,0.2608861212393071
-79.79595919183836,0.2901579955385504,0.31917379509240545,0.26114219598469535
-79.69593918783757,0.2904347404801542,0.31947821452816966,0.2613912664321388
-79.59591918383677,0.2907039058114683,0.3197742963926152,0.2616335152303215
-79.49589917983596,0.29096568965701264,0.3200622586227139,0.2618691206913114
-79.39587917583516,0.2912202854137723,0.32034231395514956,0.2620982568723951
-79.29585917183437,0.2914678818416732,0.32061467002584054,0.2623210936575059
-79.19583916783357,0.291708663153523,0.3208795294688753,0.2625377968381707
-79.09581916383277,0.2919428091043425,0.3211370900147768,0.26274852819390826
-78.99579915983196,0.2921704950800166,0.32138754458801827,0.26295344557201494
-78.89577915583116,0.29239189218520156,0.32163108140372176,0.2631527029666814
-78.79575915183037,0.2926071673304293,0.3218678840634723,0.2633464505973864
-78.69573914782957,0.292816483318355,0.3220981316501906,0.26353483498651953
-78.59571914382877,0.2930199989291004,0.32232199882201046,0.26371799903619036
-78.49569913982796,0.29321786900464686,0.3225396559051116,0.2638960821041822
-78.39567913582717,0.2934102445322396,0.3227512689854636,0.2640692200790156
-78.29565913182637,0.2935972727267672,0.322956999999444,0.2642375454540905
-78.19563912782556,0.2937790971120833,0.3231570068232916,0.264401187400875
-78.09561912382476,0.2939558576012433,0.3233514433613677,0.264560271841119
-77.99559911982396,0.29412769057563065,0.3235404596331937,0.2647149215180676
-77.89557911582317,0.2942947289629499,0.3237242018592449,0.2648652560666549
-77.79555911182237,0.29445710231406924,0.3239028125454762,0.26501139208266233
-77.69553910782156,0.294614936878695,0.32407643056656454,0.2651534431908255
-77.59551910382076,0.29476835567986576,0.32424519124785234,0.2652915201118792
-77.49549909981997,0.2949174785872538,0.3244092264459792,0.26542573072852843
-77.39547909581916,0.2950624223892665,0.32456866462819317,0.2655561801503399
-77.29545909181836,0.2952033008639399,0.32472363095033396,0.26568297077754593
-77.19543908781756,0.2953402248486209,0.32487424733348297,0.2658062023637588
-77.09541908381676,0.29547330230843427,0.3250206325392777,0.26592597207759083
-76.99539907981597,0.29560263840353507,0.3251629022438886,0.2660423745631816
-76.89537907581516,0.2957283355551446,0.3253011691106591,0.2661555019996302
-76.79535907181436,0.29585049351037546,0.325435542861413,0.2662654441593379
-76.69533906781356,0.29596920940584576,0.32556613034643034,0.2663722884652612
-76.59531906381277,0.2960845778300899,0.3256930356130989,0.26647612004708093
-76.49529905981197,0.296196690884771,0.32581635997324815,0.26657702179629394
-76.39527905581116,0.2963056382447016,0.32593620206917173,0.2666750744202314
-76.29525905181036,0.2964115072166815,0.3260526579383497,0.2667703564950134
-76.19523904780957,0.2965143827971624,0.3261658210768787,0.2668629445174462
-76.09521904380875,0.2966143477287474,0.32627578250162215,0.26695291295587265
-75.99519903980796,0.2967114825555377,0.3263826308110915,0.2670403342999839
-75.89517903580716,0.2968058656773382,0.32648645224507206,0.2671252791096044
-75.79515903180636,0.29689757340273193,0.32658733074300517,0.26720781606245875
-75.69513902780557,0.29698668000103867,0.3266853480011426,0.2672880120009348
-75.59511902380476,0.2970732577531692,0.3267805835284861,0.26736593197785224
-75.49509901980396,0.2971573770013893,0.32687311470152824,0.26744163930125037
-75.39507901580316,0.29723910619800786,0.32696301681780865,0.2675151955782071
-75.29505901180237,0.29731851195300363,0.327050363148304,0.26758666075770327
-75.19503900780157,0.2973956590806045,0.327135224988665,0.2676560931725441
-75.09501900380076,0.29747061064483593,0.32721767170931954,0.2677235495803523
-74.99499899979996,0.29754342800405237,0.32729777080445766,0.26778908520364714
-74.89497899579916,0.2976141708544683,0.3273755879399151,0.26785275376902146
-74.79495899179835,0.2976828972727041,0.3274511869999745,0.26791460754543367
-74.69493898779756,0.29774966375736256,0.32752463013309885,0.2679746973816263
-74.59491898379676,0.29781452526965263,0.3275959777966179,0.2680330727426874
-74.49489897979596,0.2978775352730753,0.32766528880038287,0.2680897817457678
-74.39487897579517,0.2979387457721893,0.32773262034940825,0.2681448711949704
-74.29485897179435,0.2979982073504711,0.3277980280855182,0.268198386615424
-74.19483896779356,0.29805596920728694,0.32786156612801565,0.26825037228655824
-74.09481896379276,0.2981120791939917,0.32792328711339086,0.2683008712745925
-73.99479895979195,0.2981665838491717,0.3279832422340889,0.26834992546425457
-73.89477895579115,0.29821952843304694,0.3280414812763517,0.26839757558974225
-73.79475895179036,0.2982709569610489,0.3280980526571538,0.268443861264944
-73.69473894778956,0.29832091223659,0.32815300346024906,0.26848882101293103
-73.59471894378876,0.29836943588304043,0.3282063794713445,0.2685324922947364
-73.49469893978795,0.2984165683749275,0.3282582252124203,0.2685749115374348
-73.39467893578716,0.2984623490683746,0.32830858397521206,0.26861611416153713
-73.29465893178636,0.29850681623079295,0.32835749785387225,0.26865613460771365
-73.19463892778556,0.29855000706984375,0.32840500777682813,0.26869500636285937
-73.09461892378476,0.2985919577616843,0.32845115353785276,0.2687327619855159
-72.99459891978395,0.2986327034785135,0.32849597382636486,0.26876943313066215
-72.89457891578316,0.298672278415432,0.3285395062569752,0.2688050505738888
-72.79455891178236,0.29871071581663083,0.32858178739829397,0.26883964423496776
-72.69453890778155,0.29874804800092375,0.32862285280101616,0.2688732432008314
-72.59451890378075,0.2987843063866366,0.3286627370253003,0.268905875747973
-72.49449889977996,0.29881952151586916,0.3287014736674561,0.26893756936428226
-72.39447889577916,0.29885372307814173,0.3287390953859559,0.26896835077032755
-72.29445889177836,0.29888693993344106,0.3287756339267852,0.26899824594009697
-72.19443888777755,0.29891920013467943,0.3288111201481474,0.2690272801212115
-72.09441888377675,0.2989505309495788,0.3288455840445367,0.2690554778546209
-71.99439887977596,0.29898095888199433,0.3288790547701938,0.2690828629937949
-71.89437887577515,0.29901050969268966,0.32891156066195865,0.2691094587234207
-71.79435887177435,0.2990392084195762,0.32894312926153385,0.2691352875776186
-71.69433886777355,0.2990670793974295,0.3289737873371725,0.26916037145768656
-71.59431886377276,0.29909414627709413,0.3290035609048036,0.2691847316493847
-71.49429885977196,0.2991204320441901,0.3290324752486091,0.2692083888397711
-71.39427885577115,0.2991459590373308,0.32906055494106395,0.26923136313359775
-71.29425885177035,0.29917074896586643,0.3290878238624531,0.2692536740692798
-71.19423884776955,0.29919482292716176,0.32911430521987795,0.2692753406344456
-71.09421884376876,0.2992182014234212,0.32914002156576333,0.2692963812810791
-70.99419883976796,0.299240904378071,0.32916499481587813,0.2693168139402639
-70.89417883576715,0.2992629511517096,0.32918924626688056,0.2693366560365386
-70.79415883176635,0.29928436055763696,0.3292127966134007,0.2693559245018733
-70.69413882776556,0.2993051508769723,0.3292356659646695,0.26937463578927506
-70.59411882376475,0.2993253398733711,0.32925787386070826,0.26939280588603404
-70.49409881976395,0.2993449448073508,0.3292794392880859,0.2694104503266157
-70.39407881576315,0.299363982450235,0.3293003806952585,0.2694275842052115
-70.29405881176235,0.2993824690977254,0.329320716007498,0.2694442221879529
-70.19403880776156,0.29940042058311117,0.3293404626414223,0.26946037852480004
-70.09401880376075,0.29941785229012424,0.3293596375191367,0.2694760670611118
-69.99399879975995,0.29943477916544975,0.32937825708199475,0.2694913012489048
-69.89397879575915,0.2994512157309002,0.32939633730399026,0.2695060941578102
-69.79395879175836,0.29946717609526197,0.3294138937047882,0.2695204584857358
-69.69393878775756,0.2994826739658219,0.32943094136240414,0.2695344065692397
-69.59391878375675,0.2994977226595829,0.3294474949255412,0.2695479503936246
-69.49389877975595,0.299512335114176,0.3294635686255937,0.2695611016027584
-69.39387877575516,0.2995265238984764,0.32947917628832407,0.26957387150862877
-69.29385877175434,0.29954030122293174,0.32949433134522493,0.2695862711006386
-69.19383876775355,0.29955367894960927,0.3295090468445702,0.2695983110546484
-69.09381876375275,0.29956666860196973,0.3295233354621667,0.26961000174177274
-68.99379875975195,0.29957928137437484,0.32953720951181237,0.26962135323693737
-68.89377875575116,0.2995915281413347,0.3295506809554682,0.26963237532720125
-68.79375875175035,0.2996034194665033,0.3295637614131537,0.269643077519853
-68.69373874774955,0.29961496561142675,0.3295764621725695,0.2696534690502841
-68.59371874374875,0.2996261765440525,0.32958879419845777,0.26966355888964727
-68.49369873974794,0.2996370619470046,0.32960076814170514,0.26967335575230417
-68.39367873574714,0.29964763122563165,0.32961239434819484,0.2696828681030685
-68.29365873174635,0.2996578935158333,0.3296236828674166,0.26969210416424994
-68.19363872774555,0.2996678576916712,0.3296346434608384,0.2697010719225041
-68.09361872374475,0.29967753237277006,0.3296452856100471,0.26970977913549304
-67.99359871974394,0.2996869259315141,0.3296556185246655,0.2697182333383627
-67.89357871574315,0.2996960465000447,0.3296656511500492,0.26972644185004024
-67.79355871174235,0.2997049019770647,0.32967539217477115,0.2697344117793582
-67.69353870774154,0.29971350003445346,0.3296848500378988,0.2697421500310081
-67.59351870374076,0.2997218481236992,0.32969403293606914,0.26974966331132927
-67.49349869973994,0.29972995348215237,0.3297029488303676,0.26975695813393713
-67.39347869573915,0.29973782313910524,0.3297116054530158,0.26976404082519473
-67.29345869173835,0.29974546392170226,0.3297200103138725,0.26977091752953203
-67.19343868773754,0.29975288246068627,0.3297281707067549,0.26977759421461767
-67.09341868373674,0.29976008519598385,0.32973609371558227,0.2697840766763855
-66.99339867973595,0.29976707838213557,0.32974378622034917,0.269790370543922
-66.89337867573515,0.2997738680935738,0.3297512549029312,0.26979648128421646
-66.79335867173435,0.2997804602297539,0.32975850625272934,0.26980241420677853
-66.69333866773354,0.29978686052014103,0.3297655465721552,0.26980817446812694
-66.59331866373275,0.2997930745290577,0.32977238198196346,0.2698137670761519
-66.49329865973195,0.29979910766039525,0.3297790184264348,0.26981919689435574
-66.39327865573114,0.29980496516219396,0.3297854616784134,0.2698244686459746
-66.29325865173035,0.2998106521310932,0.32979171734420254,0.26982958691798387
-66.19323864772954,0.29981617351665774,0.32979779086832356,0.26983455616499197
-66.09321864372875,0.299821534125582,0.3298036875381402,0.2698393807130238
-65.99319863972795,0.29982673862577575,0.3298094124883533,0.26984406476319817
-65.89317863572714,0.29983179155033507,0.3298149707053686,0.26984861239530156
-65.79315863172634,0.2998366973014016,0.3298203670315418,0.26985302757126145
-65.69313862772555,0.29984146015391233,0.32982560616930356,0.2698573141385211
