Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,2.7321134213489216e-07,3.005324763483814e-07,2.4589020792140297e-07
-99.7999599919984,0.007700794630916935,0.008470874094008629,0.006930715167825242
-99.6999399879976,0.2513874763338586,0.27652622396724447,0.22624872870047275
-99.5999199839968,1.4814619737855401,1.6296081711640942,1.333315776406986
-99.499899979996,4.367334748794617,4.804068223674079,3.9306012739151552
-99.3998799759952,9.072133805477371,9.979347186025109,8.164920424929635
-99.2998599719944,15.39719999380693,16.936919993187626,13.857479994426237
-99.1998399679936,23.00348004531936,25.303828049851298,20.703132040787423
-99.0998199639928,31.541708278094536,34.69587910590399,28.387537450285084
-98.999799959992,40.706678009999884,44.777345810999876,36.6360102089999
-98.89977995599119,50.251602098357694,55.27676230819347,45.226441888521926
-98.7997599519904,59.98539797315076,65.98393777046584,53.986858175835685
-98.6997399479896,69.76418771711053,76.74060648882158,62.78776894539948
-98.5997199439888,79.48191570763653,87.43010727840019,71.53372413687288
-98.49969993998799,89.06193411822427,97.9681275300467,80.15574070640184
-98.3996799359872,98.4500668370182,108.29507352072002,88.60506015331639
-98.2996599319864,107.60912521468205,118.37003773615027,96.84821269321385
-98.1996399279856,116.51466734312868,128.16613407744157,104.86320060881582
-98.0996199239848,125.15175896931028,137.66693486624132,112.63658307237925
-97.99959991998399,133.5125161444948,146.8637677589443,120.16126453004533
-97.8995799159832,141.59424769830264,155.75367246813292,127.43482292847237
-97.7995599119824,149.3980537830061,164.33785916130674,134.4582484047055
-97.6995399079816,156.92776961112597,172.62054657223857,141.23499265001337
-97.59951990398079,164.1891699861063,180.60808698471695,147.77025298749567
-97.49949989998,171.18937081996705,188.3083079019638,154.07043373797035
-97.3994798959792,177.9363795503401,195.73001750537412,160.1427415953061
-97.2994598919784,184.43875824385626,202.88263406824188,165.99488241947063
-97.19943988797759,190.70537209699643,209.7759093066961,171.6348348872968
-97.0994198839768,196.74520273849032,216.41972301233938,177.0706824646413
-96.999399879976,202.5672107565511,222.82393183220623,182.310489680896
-96.8993798759752,208.1802356427378,228.9982592070116,187.36221207846404
-96.79935987197439,213.5929241793559,234.9522165972915,192.2336317614203
-96.69933986797359,218.8136804355634,240.69504847911978,196.93231239200708
-96.5993198639728,223.85063215453772,246.2356953699915,201.46556893908397
-96.499299859972,228.71160954073284,251.58277049480614,205.84044858665956
-96.3992798559712,233.4041333894705,256.74454672841756,210.06372005052344
-96.29925985197039,237.93541021312666,261.72895123443936,214.141869191814
-96.1992398479696,242.31233256292774,266.54356581922053,218.08109930663497
-96.0992198439688,246.54148316325333,271.1956314795787,221.887334846928
-95.999199839968,250.62914179665378,275.6920559763192,225.5662276169884
-95.89917983596719,254.58129412539282,280.0394235379321,229.12316471285354
-95.79915983196639,258.40364182646977,284.2440060091168,232.5632776438228
-95.6991398279656,262.10161356486856,288.31177492135544,235.8914522083817
-95.5991198239648,265.6803764441812,292.24841408859936,239.11233879976308
-95.49909981996399,269.1448476623768,296.0593324286145,242.2303628961391
-95.39907981596319,272.4997061691538,299.7496767860692,245.24973555223843
-95.2990598119624,275.74940417451114,303.3243445919623,248.17446375706004
-95.1990398079616,278.89817839933914,306.78799623927307,251.00836055940525
-95.09901980396079,281.95006099064545,310.14506708971004,253.75505489158093
-94.99899979995999,284.90889004854404,313.39977905339845,256.4180010436896
-94.89897979595919,287.7783197309635,316.5561517040599,259.0004877578672
-94.7989597919584,290.5618299164138,319.61801290805516,261.5056469247724
-94.69893978795758,293.26273541606344,322.5890089576698,263.9364618744571
-94.59891978395679,295.88419473459356,325.47261420805296,266.2957752611342
-94.49889977995599,298.42921838537995,328.272140223918,268.586296546842
