Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,6.263869795287771e-10,6.890256774816549e-10,5.637482815758994e-10
-99.7999599919984,1.7655480373321754e-05,1.9421028410653932e-05,1.588993233598958e-05
-99.6999399879976,0.0005763517750093343,0.0006339869525102677,0.0005187165975084008
-99.5999199839968,0.003396522574044897,0.003736174831449387,0.003056870316640407
-99.499899979996,0.01001291381430961,0.01101420519574057,0.009011622432878648
-99.3998799759952,0.020799526285728606,0.02287947891430147,0.018719573657155746
-99.2998599719944,0.035300897546776865,0.03883098730145455,0.031770807792099176
-99.1998399679936,0.052739685957561455,0.058013654553317605,0.04746571736180531
-99.0998199639928,0.07231513605221673,0.0795466496574384,0.06508362244699506
-98.999799959992,0.09332750568146314,0.10266025624960946,0.08399475511331683
-98.89977995599119,0.11521099017672251,0.12673208919439477,0.10368989115905027
-98.7997599519904,0.13752749779210174,0.15128024757131192,0.12377474801289157
-98.6997399479896,0.15994716208313148,0.17594187829144464,0.14395244587481834
-98.5997199439888,0.1822268311345813,0.20044951424803945,0.16400414802112318
-98.49969993998799,0.20419077578324588,0.2246098533615705,0.18377169820492129
-98.3996799359872,0.22571478738243198,0.2482862661206752,0.20314330864418878
-98.2996599319864,0.24671360415073443,0.2713849645658079,0.22204224373566098
-98.1996399279856,0.2671311885427828,0.2938443073970611,0.24041806968850452
-98.0996199239848,0.2869333010515894,0.3156266311567483,0.2582399709464304
-97.99959991998399,0.3061018662825003,0.33671205291075035,0.27549167965425025
-97.8995799159832,0.3246307142351329,0.35709378565864625,0.2921676428116196
-97.7995599119824,0.3425223672098189,0.3767746039308008,0.308270130488837
-97.6995399079816,0.35978561813282534,0.3957641799461079,0.3238070563195428
-97.59951990398079,0.37643370679741445,0.41407707747715594,0.338790336117673
-97.49949989998,0.39248294773358294,0.4317312425069413,0.35323465296022466
-97.3994798959792,0.40795169945687726,0.44874686940256503,0.36715652951118954
-97.2994598919784,0.42285959207128015,0.46514555127840823,0.38057363286415213
-97.19943988797759,0.43722695066140643,0.4809496457275471,0.3935042555952658
-97.0994198839768,0.4510743672540997,0.49618180397950973,0.40596693052868976
-96.999399879976,0.46442238563697075,0.5108646242006679,0.4179801470732737
-96.8993798759752,0.47729127196139887,0.5250203991575388,0.429562144765259
-96.79935987197439,0.48970085055754764,0.5386709356133025,0.4407307655017929
-96.69933986797359,0.5016703892912917,0.5518374282204209,0.45150335036216255
-96.5993198639728,0.5132185225006474,0.5645403747507122,0.4618966702505826
-96.499299859972,0.5243632023616802,0.5767995225978483,0.4719268821255122
-96.3992798559712,0.5351216716734202,0.5886338388407623,0.48160950450607815
-96.29925985197039,0.5455104526837538,0.6000614979521292,0.4909594074153784
-96.1992398479696,0.5555453478272002,0.6110998826099203,0.49999081304448023
-96.0992198439688,0.5652414492035563,0.6217655941239121,0.5087173042832007
-95.999199839968,0.5746131543630598,0.6320744697993659,0.5171518389267539
-95.89917983596719,0.5836741865313884,0.6420416051845272,0.5253067678782496
-95.79915983196639,0.5924376178460525,0.6516813796306579,0.5331938560614473
-95.6991398279656,0.6009158945145766,0.6610074839660344,0.540824305063119
-95.5991198239648,0.6091208630671471,0.6700329493738618,0.5482087767604323
-95.49909981996399,0.6170637970795955,0.678770176787555,0.5553574173716359
-95.39907981596319,0.6247554239000112,0.6872309662900123,0.5622798815100101
-95.2990598119624,0.632205951034245,0.6954265461376696,0.5689853559308206
-95.1990398079616,0.6394250919399482,0.7033676011339431,0.5754825827459534
-95.09901980396079,0.6464220910517238,0.7110643001568963,0.5817798819465514
-94.99899979995999,0.6532057479161741,0.7185263227077916,0.5878851731245568
-94.89897979595919,0.6597844403587944,0.7257628843946738,0.593805996322915
-94.7989597919584,0.6661661466376315,0.7327827613013947,0.5995495319738684
-94.69893978795758,0.6723584665636575,0.7395943132200233,0.6051226199072918
-94.59891978395679,0.6783686415866291,0.7462055057452921,0.6105317774279663
-94.49889977995599,0.6842035738591637,0.7526239312450802,0.6157832164732474
-94.3988797759552,0.6898698443019881,0.758856828732187,0.6208828598717893
-94.2988597719544,0.6953737297005608,0.7649111026706169,0.6258363567305048
-94.19883976795359,0.7007212188682891,0.7707933407551181,0.6306490969814602
-94.09881976395279,0.705918027914783,0.7765098307062613,0.6353262251233047
-93.99879975995199,0.7109696146594964,0.7820665761254461,0.6398726531935468
-93.8987797559512,0.7158811922319661,0.7874693114551627,0.6442930730087695
-93.79875975195039,0.7206577418999492,0.7927235160899442,0.6485919677099543
-93.69873974794959,0.7253040251662728,0.7978344276829001,0.6527736226496456
-93.59871974394879,0.7298245951742937,0.8028070546917231,0.6568421356568643
-93.498699739948,0.7342238074606489,0.8076461882067139,0.660801426714584
-93.39867973594718,0.738505830092555,0.8123564131018105,0.6646552470832995
-93.29865973194639,0.7426746532253392,0.8169421185478732,0.6684071879028053
-93.19863972794559,0.7467340981142534,0.8214075079256788,0.6720606883028281
-93.0986197239448,0.7506878256129242,0.8257566081742167,0.6756190430516318
-92.99859971994398,0.7545393441891198,0.8299932786080318,0.6790854097702078
-92.89857971594319,0.7582920174868282,0.8341212192355111,0.6824628157381454
-92.79855971194239,0.7619490714620225,0.8381439786082249,0.6857541643158203
