Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,6.663691271582736e-11,7.33006039874101e-11,5.997322144424463e-11
-99.7999599919984,1.8782425929065696e-06,2.0660668521972266e-06,1.6904183336159127e-06
-99.6999399879976,6.131401861801429e-05,6.744542047981572e-05,5.518261675621286e-05
-99.5999199839968,0.00036133218872818056,0.00039746540760099864,0.00032519896985536254
-99.499899979996,0.0010652035972669798,0.0011717239569936778,0.0009586832375402818
-99.3998799759952,0.002212715562311554,0.00243398711854271,0.001991444006080399
-99.2998599719944,0.003755414632635837,0.004130956095899421,0.003379873169372253
-99.1998399679936,0.005610604889102283,0.006171665378012512,0.005049544400192055
-99.0998199639928,0.007693099580023058,0.008462409538025364,0.006923789622020752
-98.999799959992,0.009928458051219485,0.010921303856341434,0.008935612246097537
-98.89977995599119,0.012256488316672608,0.01348213714833987,0.011030839485005347
-98.7997599519904,0.014630584871500187,0.016093643358650208,0.013167526384350169
-98.6997399479896,0.017015655540758668,0.018717221094834535,0.015314089986682801
-98.5997199439888,0.019385833099423544,0.0213244164093659,0.01744724978948119
-98.49969993998799,0.021722422955664455,0.023894665251230903,0.01955018066009801
-98.3996799359872,0.02401221142366298,0.02641343256602928,0.02161099028129668
-98.2996599319864,0.026246128101141963,0.028870740911256163,0.023621515291027767
-98.1996399279856,0.028418211547104555,0.031260032701815016,0.0255763903923941
-98.0996199239848,0.030524819260807384,0.03357730118688813,0.027472337334726645
-97.99959991998399,0.032564028327925564,0.035820431160718126,0.029307625495133008
-97.8995799159832,0.03453518236543967,0.03798870060198364,0.0310816641288957
-97.7995599119824,0.03643854970317222,0.04008240467348945,0.032794694732855
-97.6995399079816,0.03827506575881121,0.042102572334692334,0.03444755918293009
-97.59951990398079,0.04004613902100154,0.0440507529231017,0.03604152511890139
-97.49949989998,0.041753505078040744,0.04592885558584482,0.03757815457023667
-97.3994798959792,0.04339911696349759,0.04773902865984735,0.03905920526714783
-97.2994598919784,0.044985062986306404,0.04948356928493705,0.040486556687675763
-97.19943988797759,0.04651350538951132,0.05116485592846246,0.04186215485056019
-97.0994198839768,0.04798663481426593,0.05278529829569253,0.04318797133283934
-96.999399879976,0.049406636769890516,0.05434730044687957,0.04446597309290146
-96.8993798759752,0.05077566722993605,0.05585323395292966,0.04569810050694245
-96.79935987197439,0.05209583516569656,0.05730541868226622,0.04688625164912691
-96.69933986797359,0.05336919035013742,0.05870610938515117,0.04803227131512368
-96.5993198639728,0.054597715159643345,0.06005748667560768,0.04913794364367901
-96.499299859972,0.05578331940017875,0.06136165134019663,0.050204987460160874
-96.3992798559712,0.056927837412065974,0.06262062115327258,0.05123505367085938
-96.29925985197039,0.05803302688125041,0.06383632956937545,0.05222972419312537
-96.1992398479696,0.059100568917787255,0.06501062580956599,0.05319051202600853
-96.0992198439688,0.06013206906420813,0.06614527597062894,0.054118862157787315
-95.999199839968,0.06112905897479361,0.06724196487227298,0.05501615307731425
-95.89917983596719,0.06209299856716898,0.06830229842388588,0.05588369871045208
-95.79915983196639,0.06302527849426091,0.06932780634368702,0.05672275064483483
-95.6991398279656,0.06392722282069965,0.07031994510276962,0.05753450053862969
-95.5991198239648,0.06480009181565395,0.07128010099721935,0.058320082634088555
-95.49909981996399,0.06564508479570165,0.07220959327527182,0.059080576316131485
-95.39907981596319,0.0664633429680863,0.07310967726489494,0.05981700867127767
-95.2990598119624,0.06725595223768564,0.07398154746145422,0.06053035701391708
-95.1990398079616,0.06802394595105833,0.07482634054616417,0.0612215513559525
-95.09901980396079,0.06876830755869402,0.07564513831456343,0.06189147680282462
-94.99899979995999,0.06948997318257172,0.0764389705008289,0.06254097586431455
-94.89897979595919,0.07018983408072281,0.0772088174887951,0.06317085067265053
-94.7989597919584,0.07086873900400335,0.0779556129044037,0.06378186510360302
-94.69893978795758,0.0715274964429423,0.07868024608723655,0.06437474679864807
-94.59891978395679,0.07216687676453502,0.07938356444098853,0.06495018908808152
-94.49889977995599,0.07278761424033657,0.08006637566437023,0.06550885281630292
-94.3988797759552,0.07339040896829661,0.08072944986512628,0.06605136807146696
-94.2988597719544,0.07397592869154902,0.08137352156070393,0.06657833582239413
-94.19883976795359,0.07454481051790311,0.08199929156969343,0.0670903294661128
-94.09881976395279,0.07509766254412586,0.08260742879853845,0.06758789628971328
-93.99879975995199,0.07563506538930814,0.08319857192823896,0.06807155885037733
-93.8987797559512,0.07615757364169853,0.0837733310058684,0.06854181627752869
-93.79875975195039,0.07666571722339886,0.08433228894573876,0.06899914550105898
-93.69873974794959,0.07716000267726308,0.0848760029449894,0.06944400240953678
-93.59871974394879,0.07764091438024401,0.08540500581826842,0.06987682294221961
-93.498699739948,0.07810891568730308,0.08591980725603339,0.07029802411857278
-93.39867973594718,0.07856445000984628,0.08642089501083092,0.07070800500886165
-93.29865973194639,0.0790079418324829,0.0869087360157312,0.0711071476492346
-93.19863972794559,0.0794397976717291,0.08738377743890201,0.07149581790455618
-93.0986197239448,0.07986040698009833,0.08784644767810817,0.0718743662820885
-92.99859971994398,0.08027014299884255,0.08829715729872682,0.0722431286989583
-92.89857971594319,0.08066936356242854,0.08873629991867141,0.07260242720618569
-92.79855971194239,0.08105841185766198,0.08916425304342819,0.07295257067189578
-92.69853970794159,0.0814376171402022,0.08958137885422243,0.07329385542618198
-92.59851970394078,0.08180729541104907,0.08998802495215398,0.07362656586994416
-92.49849969993998,0.08216775005542848,0.09038452506097133,0.07395097504988564
-92.39847969593919,0.08251927244635449,0.09077119969098994,0.07426734520171904
-92.29845969193839,0.08286214251500622,0.09114835676650684,0.07457592826350559
-92.1984396879376,0.08319662928992459,0.09151629221891706,0.07487696636093213
-92.09841968393678,0.08352299140690833,0.09187529054759917,0.0751706922662175
-91.99839967993599,0.08384147759137023,0.09222562535050725,0.0754573298322332
-91.89837967593519,0.08415232711480383,0.09256755982628423,0.07573709440332345
-91.79835967193439,0.08445577022690622,0.09290134724959684,0.07601019320421559
-91.69833966793358,0.08475202856480332,0.09322723142128367,0.07627682570832299
-91.59831966393278,0.08504131554073424,0.09354544709480768,0.07653718398666082
-91.49829965993199,0.08532383670946331,0.09385622038040965,0.07679145303851698
-91.39827965593119,0.08559979011660897,0.09415976912826987,0.07703981110494808
-91.29825965193038,0.08586936662900285,0.09445630329190315,0.07728242996610257
-91.19823964792958,0.08613275024812257,0.09474602527293484,0.07751947522331032
-91.09821964392879,0.0863901184075747,0.09502913024833218,0.07775110656681723
-90.99819963992799,0.08664164225554459,0.09530580648109906,0.07797747802999014
-90.89817963592719,0.08688748692307098,0.09557623561537809,0.07819873823076388
-90.79815963192638,0.08712781177894993,0.09584059295684494,0.07841503060105494
-90.69813962792558,0.08736277067202305,0.09609904773922537,0.07862649360482075
-90.59811962392479,0.08759251216155749,0.09635176337771324,0.07883326094540175
-90.49809961992398,0.08781717973638177,0.09659889771001995,0.07903546176274359
-90.39807961592318,0.08803691202340101,0.09684060322574112,0.0792332208210609
-90.29805961192238,0.08825184298607602,0.09707702728468363,0.07942665868746843
-90.19803960792159,0.08846210211341622,0.09730831232475785,0.0796158919020746
-90.09801960392079,0.08866781460000224,0.09753459606000248,0.07980103314000202
-89.99799959991998,0.0888691015175231,0.09775601166927542,0.0799821913657708
-89.89797959591918,0.08906607997828404,0.09797268797611246,0.08015947198045564
-89.79795959191839,0.08925886329111371,0.0981847496202251,0.08033297696200234
-89.69793958791759,0.08944756111007332,0.09839231722108066,0.080502804999066
-89.59791958391678,0.0896322795763481,0.09859550753398293,0.0806690516187133
-89.49789957991598,0.08981312145367737,0.09879443359904512,0.08083180930830963
-89.39787957591518,0.08999018625765981,0.0989892048834258,0.08099116763189383
-89.29785957191439,0.09016357037925059,0.09917992741717566,0.08114721334132553
-89.19783956791358,0.09033336720274876,0.09936670392302364,0.08130003048247389
-89.09781956391278,0.09049966721855623,0.09954963394041187,0.08144970049670061
-88.99779955991198,0.09066255813097357,0.09972881394407093,0.08159630231787622
-88.89777955591119,0.09082212496128264,0.09990433745741091,0.08173991246515439
-88.79775955191039,0.09097845014635225,0.10007629516098748,0.08188060513171704
-88.69773954790958,0.09113161363298983,0.10024477499628882,0.08201845226969084
-88.59771954390878,0.09128169296824887,0.10040986226507376,0.08215352367142398
-88.49769953990798,0.09142876338589166,0.10057163972448084,0.0822858870473025
-88.39767953590719,0.09157289788919434,0.10073018767811379,0.08241560810027491
-88.29765953190638,0.09171416733027224,0.10088558406329948,0.08254275059724502
-88.19763952790558,0.09185264048609293,0.10103790453470222,0.08266737643748363
-88.09761952390478,0.091988384131336,0.10118722254446962,0.0827895457182024
