Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-97.3994798959792,0.00020464710820710446,0.00022511181902781492,0.00018418239738639402
-97.2994598919784,0.00031399306326844445,0.0003453923695952889,0.00028259375694160004
-97.19943988797759,0.00046678215273397,0.0005134603680073671,0.000420103937460573
-97.0994198839768,0.0006745326610860572,0.0007419859271946631,0.0006070793949774515
-96.999399879976,0.0009501956920057651,0.0010452152612063417,0.0008551761228051886
-96.8993798759752,0.0013080172975052096,0.0014388190272557307,0.0011772155677546887
-96.79935987197439,0.0017633565522106323,0.0019396922074316955,0.001587020896989569
-96.69933986797359,0.0023324687643635667,0.0025657156407999236,0.00209922188792721
-96.5993198639728,0.0030322637793852667,0.0033354901573237937,0.00272903740144674
-96.499299859972,0.0038800493712342,0.00426805430835762,0.00349204443411078
-96.3992798559712,0.004893269185767173,0.005382596104343891,0.004403942267190456
-96.29925985197039,0.006089243759052977,0.0066981681349582755,0.005480319383147679
-96.1992398479696,0.007484921931307454,0.0082334141244382,0.0067364297381767085
-96.0992198439688,0.009096648642427678,0.010006313506670446,0.00818698377818491
-95.999199839968,0.01093995373167348,0.012033949104840827,0.009845958358506131
-95.89917983596719,0.013029365050110887,0.014332301555121977,0.0117264285450998
-95.79915983196639,0.015378247984674508,0.016916072783141962,0.013840423186207058
-95.6991398279656,0.017998672421483827,0.019798539663632212,0.016198805179335446
-95.5991198239648,0.020901307261146133,0.02299143798726075,0.01881117653503152
-95.49909981996399,0.02409534184516822,0.026504876029685043,0.0216858076606514
-95.39907981596319,0.027588433055890458,0.030347276361479505,0.024829589750301414
-95.2990598119624,0.031386676401757366,0.0345253440419331,0.02824800876158163
-95.1990398079616,0.035494599080498,0.0390440589885478,0.0319451391724482
-95.09901980396079,0.0399151728080931,0.04390669008890241,0.03592365552728379
-94.99899979995999,0.04464984409380855,0.04911482850318941,0.0401848596844277
-94.89897979595919,0.04969857961403065,0.05466843757543372,0.04472872165262759
-94.7989597919584,0.05505992437415916,0.06056591681157508,0.04955393193674324
-94.69893978795758,0.06073107043391517,0.0668041774773067,0.05465796339052366
-94.59891978395679,0.06670793409431837,0.07337872750375021,0.06003714068488653
-94.49889977995599,0.07298523959327244,0.08028376355259968,0.0656867156339452
-94.3988797759552,0.0795566075219035,0.08751226827409385,0.07160094676971315
-94.2988597719544,0.08641464634788554,0.0950561109826741,0.07777318171309698
-94.19883976795359,0.09355104560882552,0.10290615016970808,0.08419594104794297
-94.09881976395279,0.10095666951353635,0.11105233646488999,0.09086100256218271
-93.99879975995199,0.10862164985804547,0.11948381484385003,0.09775948487224093
-93.8987797559512,0.11653547732377782,0.12818902505615562,0.10488192959140004
-93.79875975195039,0.1246870903756434,0.13715579941320777,0.11221838133807907
-93.69873974794959,0.1330649611165788,0.14637145722823672,0.11975846500492093
-93.59871974394879,0.14165717758178012,0.15582289533995813,0.1274914598236021
-93.498699739948,0.15045152207022908,0.165496674277252,0.13540636986320617
-93.39867973594718,0.15943554521324577,0.17537909973457036,0.1434919906919212
-93.29865973194639,0.1685966355701289,0.18545629912714182,0.15173697201311603
-93.19863972794559,0.1779220846199522,0.19571429308194743,0.16012987615795699
-93.0986197239448,0.18739914708702485,0.20613906179572736,0.16865923237832237
-92.99859971994398,0.19701509659609723,0.21671660625570696,0.17731358693648752
-92.89857971594319,0.20675727670295066,0.22743300437324573,0.18608154903265559
-92.79855971194239,0.2166131473873212,0.23827446212605335,0.1949518326485891
-92.69853970794159,0.226570327129032,0.24922735984193523,0.2039132944161288
-92.59851970394078,0.23661663071548247,0.26027829378703077,0.21295496764393423
-92.49849969993998,0.24674010295006432,0.27141411324507075,0.2220660926550579
-92.39847969593919,0.25692904844729253,0.28262195329202183,0.23123614360256328
-92.29845969193839,0.267172057712178,0.29388926348339584,0.2404548519409602
-92.1984396879376,0.2774580297091691,0.30520383268008605,0.2497122267382522
-92.09841968393678,0.28777619113046043,0.3165538102435065,0.2589985720174144
-91.99839967993599,0.29811611257506326,0.32792772383256963,0.26830450131755695
-91.89837967593519,0.3084677218492488,0.33931449403417374,0.27762094966432393
-91.79835967193439,0.3188213145961836,0.350703446055802,0.28693918313656525
-91.69833966793358,0.32916756245814816,0.362084318703963,0.29625080621233335
-91.59831966393278,0.3394975189689997,0.37344727086589974,0.30554776707209974
-91.49829965993199,0.3498026233677341,0.3847828857045075,0.3148223610309607
-91.39827965593119,0.36007470251643786,0.39608217276808166,0.32406723226479406
-91.29825965193038,0.3703059710977304,0.40733656820750347,0.33327537398795737
-91.19823964792958,0.3804890302582306,0.4185379332840537,0.3424401272324076
-91.09821964392879,0.39061686485572,0.429678551341292,0.351555178370148
-90.99819963992799,0.40068283945874145,0.44075112340461564,0.3606145555128673
-90.89817963592719,0.4106806932383684,0.4517487625622053,0.3696126239145316
-90.79815963192638,0.42060453388299657,0.46266498727129624,0.3785440804946969
-90.69813962792558,0.4304488306582417,0.4734937137240659,0.38740394759241753
-90.59811962392479,0.44020840672550415,0.4842292473980546,0.39618756605295374
-90.49809961992398,0.44987843082446005,0.4948662739069061,0.40489058774201403
-90.39807961592318,0.45945440841676555,0.5053998492584422,0.413508967575089
-90.29805961192238,0.46893217238059065,0.5158253896186498,0.4220389551425316
-90.19803960792159,0.4783078733382727,0.5261386606721,0.4304770860044454
-90.09801960392079,0.4875779696924302,0.5363357666616733,0.4388201727231872
-89.99799959991998,0.49673921743925664,0.5464131391831824,0.447065295695331
-89.89797959591918,0.505788659821499,0.556367525803649,0.4552097938393491
-89.79795959191839,0.5147236168777313,0.5661959785655044,0.46325125518995813
-89.69793958791759,0.5235416749390512,0.5758958424329564,0.47118750744514615
-89.59791958391678,0.5322406761191368,0.5854647437310506,0.47901660850722316
-89.49789957991598,0.5408187078388227,0.594900578622705,0.4867368370549404
-89.39787957591518,0.5492740924218256,0.6042015016640082,0.49434668317964303
-89.29785957191439,0.5576053767941407,0.6133659144735548,0.5018448391147267
-89.19783956791358,0.5658113223157165,0.6223924545472882,0.5092301900841448
-89.09781956391278,0.573890894769499,0.6312799842464489,0.5165018052925491
-88.99779955991198,0.5818432545296157,0.6400275799825773,0.5236589290766541
-88.89777955591119,0.5896677469274697,0.6486345216202167,0.5307009722347228
-88.79775955191039,0.5973638928317239,0.6571002821148964,0.5376275035485515
-88.69773954790958,0.6049313794556318,0.665424517401195,0.5444382415100686
