Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-96.999399879976,0.4342292140886561,0.4776521354975218,0.3908062926797905
-96.8993798759752,0.597749840257757,0.6575248242835328,0.5379748562319814
-96.79935987197439,0.8058349835371168,0.8864184818908285,0.7252514851834051
-96.69933986797359,1.0659131450048558,1.1725044595053415,0.9593218305043703
-96.5993198639728,1.3857119421921915,1.5242831364114109,1.2471407479729724
-96.499299859972,1.7731408416930483,1.9504549258623534,1.5958267575237435
-96.3992798559712,2.2361714020979018,2.459788542307692,2.012554261888112
-96.29925985197039,2.7827189221478656,3.0609908143626523,2.504447029933079
-96.1992398479696,3.420528839575987,3.762581723533586,3.0784759556183885
-96.0992198439688,4.157070616163186,4.572777677779506,3.7413635545468678
-95.999199839968,4.9994412214636865,5.499385343610055,4.499497099317318
-95.89917983596719,5.954279727201212,6.549707699921333,5.3588517544810905
-95.79915983196639,7.027693971491038,7.730463368640143,6.324924574341934
-95.6991398279656,8.225199762506051,9.047719738756657,7.4026797862554465
-95.5991198239648,9.551672673104415,10.506839940414856,8.596505405793973
-95.49909981996399,11.011312133544617,12.11244334689908,9.910180920190156
-95.39907981596319,12.607617256724133,13.868378982396548,11.34685553105172
-95.2990598119624,14.34337362445901,15.777710986904912,12.90903626201311
-95.1990398079616,16.22065011743188,17.84271512917507,14.598585105688693
-95.09901980396079,18.240804777892006,20.064885255681208,16.416724300102807
-94.99899979995999,20.404498645020034,22.44494850952204,18.364048780518033
-94.89897979595919,22.711716490282825,24.98288813931111,20.440544841254543
-94.7989597919584,25.16179339679316,27.67797273647248,22.645614057113846
-94.69893978795758,27.753446166036504,30.528790782640158,24.978101549432854
-94.59891978395679,30.484808591489575,33.533289450638534,27.43632773234062
-94.49889977995599,33.35346970660299,36.6888166772633,30.018122735942693
-94.3988797759552,36.35651419011719,39.99216560912891,32.72086277110547
-94.2988597719544,39.490564191238015,43.43962061036182,35.541507772114215
-94.19883976795359,42.75182191801166,47.02700410981283,38.47663972621049
-94.09881976395279,46.13611241209995,50.74972365330995,41.52250117088995
-93.99879975995199,49.63892601039712,54.60281861143684,44.67503340935741
-93.8987797559512,53.25546006731782,58.581006074049604,47.929914060586036
-93.79875975195039,56.980659580267144,62.67872553829386,51.282593622240434
-93.69873974794959,60.809256424242996,66.89018206666731,54.7283307818187
-93.59871974394879,64.73580695941564,71.2093876553572,58.262226263474076
-93.498699739948,68.75472782779285,75.63020061057215,61.879255045013565
-93.39867973594718,72.86032980175209,80.14636278192731,65.57429682157688
-93.29865973194639,77.04684958849977,84.75153454734975,69.34216462964979
-93.19863972794559,81.30847953062332,89.43932748368566,73.17763157756099
-93.0986197239448,85.63939517417802,94.20333469159583,77.07545565676023
-92.99859971994398,90.03378070251755,99.0371587727693,81.03040263226579
-92.89857971594319,94.48585225672475,103.93443748239724,85.03726703105228
-92.79855971194239,98.98987918237796,108.88886710061577,89.09089126414017
-92.69853970794159,103.54020325789095,113.89422358368006,93.18618293210186
-92.59851970394078,108.13125597212908,118.944381569342,97.31813037491618
-92.49849969993998,112.75757392879282,124.03333132167212,101.48181653591354
-92.39847969593919,117.4138124624724,129.15519370871965,105.67243121622515
-92.29845969193839,122.09475755664047,134.30423331230452,109.88528180097643
-92.1984396879376,126.79533615741599,139.4748697731576,114.1158025416744
-92.09841968393678,131.51062497897385,144.66168747687124,118.35956248107647
-91.99839967993599,136.23585789720633,149.85944368692697,122.6122721074857
-91.89837967593519,140.96643202788252,155.0630752306708,126.86978882509428
